,AQI,PM10,O3,SO2,PM2.5,NO2,CO,降水量,平均气压,平均两分钟风速,平均气温,平均相对湿度,日期
0,85.0,119.0,74.0,41,46.0,58.0,1.1,0.0,1031.2,1.3,1.8,55.0,2015-01-01
1,110.0,144.0,20.0,56,83.0,79.0,1.4,0.0,1025.8,0.8,5.2,61.0,2015-01-02
2,144.0,182.0,44.0,43,110.0,89.0,1.6,0.0,1018.9,0.9,4.7,73.0,2015-01-03
3,176.0,175.5,37.0,70,108.8,117.0,1.9,0.0,1011.1,0.8,7.6,74.0,2015-01-04
4,203.0,169.0,15.0,62,107.6,95.0,1.8,0.5,1010.9,1.6,11.3,77.0,2015-01-05
5,285.0,119.0,19.0,45,106.4,69.0,2.4,0.25,1021.4,3.4,6.0,79.0,2015-01-06
6,168.0,152.0,41.0,31,105.2,69.0,2.0,0.0,1026.8,0.7,2.5,82.0,2015-01-07
7,204.0,157.0,44.0,37,104.0,97.0,2.1,0.0,1029.6,0.7,3.6,81.0,2015-01-08
8,240.0,162.0,46.0,42,102.8,104.0,2.1,0.0,1027.4,0.4,5.8,83.0,2015-01-09
9,230.0,167.0,53.0,44,101.6,108.0,2.2,0.0,1025.7,0.5,5.7,82.0,2015-01-10
10,227.0,172.0,47.0,41,100.4,119.0,2.7,0.0,1024.8,0.3,5.4,81.0,2015-01-11
11,193.0,177.0,31.0,35,99.2,83.0,1.8,0.0,1026.3,2.0,8.1,76.0,2015-01-12
12,129.0,122.0,37.0,28,98.0,55.0,1.5,0.0,1025.4,1.4,6.7,78.0,2015-01-13
13,117.0,91.0,54.0,16,88.0,60.0,1.1,0.0,1025.7,0.7,3.9,87.0,2015-01-14
14,163.0,150.0,26.0,27,94.0,80.0,1.6,0.0,1024.6,0.4,4.2,88.0,2015-01-15
15,171.0,142.0,65.0,23,100.0,68.0,1.3,0.0,1025.9,0.6,5.1,80.0,2015-01-16
16,169.0,160.0,86.0,43,106.0,74.0,1.4,0.0,1028.4,1.2,3.5,74.0,2015-01-17
17,146.0,147.0,78.0,33,112.0,65.0,1.2,0.0,1026.7,1.6,7.2,64.0,2015-01-18
18,187.0,172.0,71.0,36,106.0,87.0,1.5,0.0,1024.4,0.8,5.6,74.0,2015-01-19
19,131.0,165.0,50.0,41,100.0,95.0,1.4,0.0,1018.7,0.7,8.2,66.0,2015-01-20
20,145.0,168.0,70.0,34,111.0,74.0,1.4,0.0,1022.7,1.9,6.2,63.0,2015-01-21
21,134.0,133.0,67.0,52,102.0,70.0,1.5,0.0,1022.4,1.7,3.9,63.0,2015-01-22
22,116.0,135.0,35.0,58,88.0,85.0,1.4,0.0,1015.9,1.8,8.2,54.0,2015-01-23
23,132.0,159.0,34.0,48,100.0,91.0,1.5,0.65,1014.0,0.8,11.8,63.0,2015-01-24
24,279.0,57.0,32.0,25,102.3333333,62.0,2.1,1.3,1020.0,2.9,6.6,86.0,2015-01-25
25,209.5,32.5,31.42857143,13,104.6666667,60.85714286,2.0,0.4,1020.8,1.7,6.4,84.0,2015-01-26
26,140.0,8.0,30.85714286,1,107.0,59.71428571,1.9,0.3,1023.8,2.3,4.1,91.0,2015-01-27
27,144.2,5.0,30.28571429,4,32.0,58.57142857,1.8,0.2,1024.5,2.9,0.2,94.0,2015-01-28
28,148.4,25.0,29.71428571,7,64.0,57.42857143,1.7,0.1,1027.1,2.4,-0.5,94.0,2015-01-29
29,152.6,58.0,29.14285714,10,83.0,56.28571429,1.6,0.0,1030.4,2.3,-0.3,87.0,2015-01-30
30,156.8,89.0,28.57142857,13,90.33333333,55.14285714,1.5,0.0,1032.8,2.0,1.9,74.0,2015-01-31
31,161.0,4.0,28.0,16,97.66666667,54.0,1.4,0.0,1031.3,0.9,1.1,89.0,2015-02-01
32,138.0,39.0,18.0,18,105.0,54.0,1.4,0.0,1028.9,1.0,2.2,92.0,2015-02-02
33,153.0,61.0,47.0,16,97.42857143,47.0,1.3,0.0,1030.4,1.3,3.4,80.0,2015-02-03
34,223.0,179.0,71.0,29,89.85714286,77.0,1.8,0.0,1029.7,0.9,1.3,85.0,2015-02-04
35,219.0,170.0,81.0,49,82.28571429,78.0,1.9,0.0,1030.4,0.8,1.6,77.0,2015-02-05
36,160.0,161.0,97.0,36,74.71428571,85.0,1.5,0.0,1024.5,0.8,2.4,77.0,2015-02-06
37,184.0,135.6666667,40.0,41,67.14285714,108.0,1.7,0.0,1023.0,0.7,2.8,82.0,2015-02-07
38,213.0,110.3333333,70.0,53,59.57142857,65.0,1.8,0.0,1029.1,1.6,3.6,70.0,2015-02-08
39,72.0,85.0,71.0,29,52.0,60.0,1.0,0.0,1028.1,1.2,4.2,61.0,2015-02-09
40,107.0,115.0,62.0,42,81.0,76.0,1.2,0.0,1020.8,1.2,4.9,67.0,2015-02-10
41,187.0,161.0,85.0,40,84.6,66.0,1.4,0.0,1016.3,1.9,7.9,74.0,2015-02-11
42,202.0,153.0,99.0,39,88.2,90.0,1.8,0.0,1015.0,1.5,7.7,79.0,2015-02-12
43,184.0,145.0,104.0,44,91.8,105.0,2.0,0.0,1014.8,0.9,8.5,79.0,2015-02-13
